stock_code,ticker,corp_code,corp_name,sector,receipt_date,report_name,report_category,receipt_no,filer_name,remark
000660,000660.KS,00164779,SK하이닉스,semiconductor,20260508,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260508000567,양명훈,
000660,000660.KS,00164779,SK하이닉스,semiconductor,20260507,자기주식처분결과보고서,general,20260507000542,SK하이닉스,
000660,000660.KS,00164779,SK하이닉스,semiconductor,20260506,최대주주등소유주식변동신고서,insider,20260506800689,SK하이닉스,유
000660,000660.KS,00164779,SK하이닉스,semiconductor,20260506,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260506000496,안현,
000660,000660.KS,00164779,SK하이닉스,semiconductor,20260506,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260506000487,최강국,
000660,000660.KS,00164779,SK하이닉스,semiconductor,20260506,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260506000477,손현철,
000660,000660.KS,00164779,SK하이닉스,semiconductor,20260506,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260506000471,양동훈,
000660,000660.KS,00164779,SK하이닉스,semiconductor,20260506,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260506000450,김정원,
005930,005930.KS,00126380,삼성전자,semiconductor,20260511,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260511000085,이규철,
005930,005930.KS,00126380,삼성전자,semiconductor,20260508,최대주주등소유주식변동신고서,insider,20260508801105,삼성전자,유
005930,005930.KS,00126380,삼성전자,semiconductor,20260508,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260508000866,이동건,
005930,005930.KS,00126380,삼성전자,semiconductor,20260504,주식등의대량보유상황보고서(일반),general,20260504000421,삼성물산,
005930,005930.KS,00126380,삼성전자,semiconductor,20260430,특수관계인에대한출자,general,20260430001632,삼성전자,공
005930,005930.KS,00126380,삼성전자,semiconductor,20260430,특수관계인과의내부거래,general,20260430001625,삼성전자,공
005930,005930.KS,00126380,삼성전자,semiconductor,20260430,특수관계인과의보험거래,general,20260430001606,삼성전자,공
005930,005930.KS,00126380,삼성전자,semiconductor,20260430,현금ㆍ현물배당결정,general,20260430800106,삼성전자,유
035420,035420.KS,00266961,NAVER,internet,20260506,기업설명회(IR)개최(안내공시),general,20260506800183,NAVER,유
035420,035420.KS,00266961,NAVER,internet,20260430,영업(잠정)실적(공정공시),general,20260430800024,NAVER,유
035420,035420.KS,00266961,NAVER,internet,20260430,연결재무제표기준영업(잠정)실적(공정공시),general,20260430800020,NAVER,유
035420,035420.KS,00266961,NAVER,internet,20260417,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260417000575,고영실,
035420,035420.KS,00266961,NAVER,internet,20260417,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260417000562,김성호,
035420,035420.KS,00266961,NAVER,internet,20260417,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260417000543,김소연,
035420,035420.KS,00266961,NAVER,internet,20260417,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260417000531,김정미,
035420,035420.KS,00266961,NAVER,internet,20260417,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260417000508,김평송,
035720,035720.KS,00258801,카카오,internet,20260508,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260508000879,현동수,
035720,035720.KS,00258801,카카오,internet,20260508,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260508000845,최동진,
035720,035720.KS,00258801,카카오,internet,20260508,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260508000817,주성범,
035720,035720.KS,00258801,카카오,internet,20260508,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260508000800,조수란,
035720,035720.KS,00258801,카카오,internet,20260508,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260508000785,정혜윤,
035720,035720.KS,00258801,카카오,internet,20260508,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260508000767,장정환,
035720,035720.KS,00258801,카카오,internet,20260508,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260508000748,장영신,
035720,035720.KS,00258801,카카오,internet,20260508,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260508000735,이재승,
051910,051910.KS,00356361,LG화학,battery,20260506,특수관계인에대한자산양도,general,20260506000330,LG화학,공
051910,051910.KS,00356361,LG화학,battery,20260430,기업설명회(IR)개최(안내공시),general,20260430801472,LG화학,유
051910,051910.KS,00356361,LG화학,battery,20260430,연결재무제표기준영업(잠정)실적(공정공시),general,20260430800439,LG화학,유
051910,051910.KS,00356361,LG화학,battery,20260429,[기재정정]유형자산처분결정(종속회사의주요경영사항),correction,20260429800637,LG화학,유
051910,051910.KS,00356361,LG화학,battery,20260413,기업설명회(IR)개최(안내공시),general,20260413800175,LG화학,유
051910,051910.KS,00356361,LG화학,battery,20260409,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260409000984,김상민,
051910,051910.KS,00356361,LG화학,battery,20260401,투자판단관련주요경영사항              (항암 신약 후보물질 Licensein 계약 체결),general,20260401801654,LG화학,유
051910,051910.KS,00356361,LG화학,battery,20260401,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),general,20260401800638,LG화학,유
105560,105560.KS,00688996,KB금융,banking,20260508,[발행조건확정]증권신고서(채무증권),general,20260508001028,KB금융,
105560,105560.KS,00688996,KB금융,banking,20260508,[기재정정]증권신고서(채무증권),correction,20260508001018,KB금융,정
105560,105560.KS,00688996,KB금융,banking,20260508,[기재정정]주요사항보고서(상각형조건부자본증권발행결정),correction,20260508000967,KB금융,
105560,105560.KS,00688996,KB금융,banking,20260507,기업설명회(IR)개최(안내공시),general,20260507800917,KB금융,유
105560,105560.KS,00688996,KB금융,banking,20260504,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260504000344,김성현,
105560,105560.KS,00688996,KB금융,banking,20260430,임원ㆍ주요주주특정증권등소유상황보고서,insider,20260430001927,나상록,
105560,105560.KS,00688996,KB금융,banking,20260430,증권신고서(채무증권),general,20260430001806,KB금융,정
105560,105560.KS,00688996,KB금융,banking,20260429,해외증권거래소등에신고한사업보고서등의국내신고,earnings,20260429801135,KB금융,유
207940,207940.KS,00877059,삼성바이오로직스,bio,20260504,최대주주등소유주식변동신고서,insider,20260504800703,삼성바이오로직스,유
207940,207940.KS,00877059,삼성바이오로직스,bio,20260424,동일인등출자계열회사와의상품ㆍ용역거래변경,general,20260424000564,삼성바이오로직스,공
207940,207940.KS,00877059,삼성바이오로직스,bio,20260422,연결재무제표기준영업(잠정)실적(공정공시),general,20260422800406,삼성바이오로직스,유
207940,207940.KS,00877059,삼성바이오로직스,bio,20260410,[기재정정]단일판매ㆍ공급계약체결,correction,20260410800490,삼성바이오로직스,유
207940,207940.KS,00877059,삼성바이오로직스,bio,20260408,결산실적공시예고(안내공시),general,20260408801196,삼성바이오로직스,유
