stock_code,ticker,corp_code,corp_name,sector,year,revenue,operating_income,net_income,assets,liabilities,equity,current_assets,current_liabilities,cash_and_equivalents,inventories,operating_cash_flow,investing_cash_flow,financing_cash_flow,capex,free_cash_flow,debt_ratio,current_ratio,operating_margin,net_margin,roe,fs_div,revenue_yoy,operating_income_yoy,net_income_yoy,free_cash_flow_yoy,revenue_tn_krw,operating_income_tn_krw,net_income_tn_krw,assets_tn_krw,equity_tn_krw,capex_tn_krw,free_cash_flow_tn_krw
000660,000660.KS,00164779,SK하이닉스,semiconductor,2022,44621568000000.0,6809417000000.0,2241669000000.0,103871512000000.0,40580970000000.0,63290542000000.0,28733332000000.0,19843696000000.0,4977007000000.0,15664707000000.0,,,,19748882000000.0,,64.1185,144.7983,15.2604,5.0237,3.5419,CFS,,,,,44.6216,6.8094,2.2417,103.8715,63.2905,19.7489,
000660,000660.KS,00164779,SK하이닉스,semiconductor,2023,32765719000000.0,-7730313000000.0,-9137547000000.0,100330165000000.0,46826413000000.0,53503752000000.0,30468100000000.0,21007810000000.0,7587329000000.0,13480659000000.0,4278191000000.0,-7334727000000.0,5696845000000.0,8779848000000.0,-4501657000000.0,87.5199,145.0323,-23.5927,-27.8875,-17.0783,CFS,-26.5698,-213.5239,-507.6225,,32.7657,-7.7303,-9.1375,100.3302,53.5038,8.7798,-4.5017
000660,000660.KS,00164779,SK하이닉스,semiconductor,2024,66192960000000.0,23467319000000.0,19796902000000.0,119855209000000.0,45939505000000.0,73915704000000.0,42278887000000.0,24965444000000.0,11205117000000.0,13313937000000.0,,,,16662640000000.0,,62.1512,169.3496,35.4529,29.9079,26.7831,CFS,102.0189,-403.5753,-316.6544,,66.193,23.4673,19.7969,119.8552,73.9157,16.6626,
000660,000660.KS,00164779,SK하이닉스,semiconductor,2025,97146675000000.0,47206319000000.0,42947902000000.0,176107659000000.0,55440908000000.0,120666751000000.0,69458073000000.0,37378999000000.0,14923766000000.0,14289390000000.0,,,,28579343000000.0,,45.9455,185.8211,48.5928,44.2093,35.5922,CFS,46.7629,101.1577,116.9425,,97.1467,47.2063,42.9479,176.1077,120.6668,28.5793,
005930,005930.KS,00126380,삼성전자,semiconductor,2022,302231360000000.0,43376630000000.0,55654077000000.0,448424507000000.0,93674903000000.0,354749604000000.0,218470581000000.0,78344852000000.0,49680710000000.0,52187866000000.0,,,,53126732000000.0,,26.4059,278.8576,14.3521,18.4144,15.6883,CFS,,,,,302.2314,43.3766,55.6541,448.4245,354.7496,53.1267,
005930,005930.KS,00126380,삼성전자,semiconductor,2023,258935494000000.0,6566976000000.0,15487100000000.0,455905980000000.0,92228115000000.0,363677865000000.0,195936557000000.0,75719452000000.0,69080893000000.0,51625874000000.0,44137427000000.0,-16922817000000.0,-8593059000000.0,60534167000000.0,-16396740000000.0,25.3598,258.7665,2.5361,5.9811,4.2585,CFS,-14.3254,-84.8606,-72.1726,,258.9355,6.567,15.4871,455.906,363.6779,60.5342,-16.3967
005930,005930.KS,00126380,삼성전자,semiconductor,2024,300870903000000.0,32725961000000.0,34451351000000.0,514531948000000.0,112339878000000.0,402192070000000.0,227062266000000.0,93326299000000.0,53705579000000.0,51754865000000.0,72982621000000.0,-85381702000000.0,-7797243000000.0,53741639000000.0,19240982000000.0,27.9319,243.2993,10.8771,11.4505,8.5659,CFS,16.1953,398.3414,122.4519,-217.3464,300.8709,32.726,34.4514,514.5319,402.1921,53.7416,19.241
005930,005930.KS,00126380,삼성전자,semiconductor,2025,333605938000000.0,43601051000000.0,45206805000000.0,566942110000000.0,130621773000000.0,436320337000000.0,247684612000000.0,106411348000000.0,57856378000000.0,52636828000000.0,85315148000000.0,-68512206000000.0,-13478040000000.0,52153149000000.0,33161999000000.0,29.9371,232.7615,13.0696,13.551,10.3609,CFS,10.8801,33.2308,31.2193,72.3509,333.6059,43.6011,45.2068,566.9421,436.3203,52.1531,33.162
035420,035420.KS,00266961,NAVER,internet,2022,8220078708810.0,1304664410543.0,673180300087.0,33899042889136.0,10448720408685.0,23450322480451.0,6439570710743.0,5480633710849.0,2724168321708.0,8651839041.0,1453390444990.0,-1215888095959.0,-339465120952.0,756233974358.0,697156470632.0,44.5568,117.4968,15.8717,8.1895,2.8707,CFS,,,,,8.2201,1.3047,0.6732,33.899,23.4503,0.7562,0.6972
035420,035420.KS,00266961,NAVER,internet,2023,9670643576585.0,1488820269608.0,985017762493.0,35737826964395.0,11499828148842.0,24237998815553.0,7028076457880.0,6305568632198.0,3576456533329.0,14811319796.0,2002233273518.0,-949822085262.0,-110032028405.0,692261138230.0,1309972135288.0,47.4455,111.4583,15.3953,10.1856,4.0639,CFS,17.6466,14.1152,46.323,87.9022,9.6706,1.4888,0.985,35.7378,24.238,0.6923,1.31
035420,035420.KS,00266961,NAVER,internet,2024,10737719264647.0,1979263438827.0,1931976372953.0,38167876036020.0,11166964187683.0,27000911848337.0,9374912034828.0,6092160669672.0,4195524637851.0,21743796031.0,2589874337746.0,-1340024321675.0,-770292464617.0,580105233034.0,2009769104712.0,41.3577,153.8848,18.4328,17.9924,7.1552,CFS,11.0342,32.9417,96.1362,53.4208,10.7377,1.9793,1.932,38.1679,27.0009,0.5801,2.0098
035420,035420.KS,00266961,NAVER,internet,2025,12035007218975.0,2208138388720.0,1818746310015.0,41084496327318.0,12131482961723.0,28953013365595.0,10928462735839.0,8018876510291.0,5984018799741.0,20235420058.0,3095806604677.0,-743677268012.0,-524459708761.0,1319383789510.0,1776422815167.0,41.9006,136.2842,18.3476,15.1121,6.2817,CFS,12.0816,11.5636,-5.8608,-11.6106,12.035,2.2081,1.8187,41.0845,28.953,1.3194,1.7764
035720,035720.KS,00258801,카카오,internet,2022,6799047881222.0,569355650551.0,1066994242805.0,22963651561449.0,9447968971124.0,13515682590325.0,7755732886687.0,5210218944086.0,4780244024656.0,160328357802.0,678376491408.0,-1574104586648.0,411821219788.0,642875967117.0,35500524291.0,69.9038,148.8562,8.374,15.6933,7.8945,CFS,,,,,6.799,0.5694,1.067,22.9637,13.5157,0.6429,0.0355
035720,035720.KS,00258801,카카오,internet,2023,7557001757272.0,460857845673.0,-1816669011014.0,25179968939321.0,11321369715195.0,13858599224126.0,8943259940386.0,6766752561041.0,120412073981.0,138643535336.0,,-1779932042360.0,1019586517417.0,722230108989.0,,81.692,132.1647,6.0984,-24.0395,-13.1086,CFS,11.1479,-19.0562,-270.2604,,7.557,0.4609,-1.8167,25.18,13.8586,0.7222,
035720,035720.KS,00258801,카카오,internet,2024,7871692199887.0,460212161525.0,-161870567171.0,25773028304462.0,11830134144725.0,13942894159737.0,10958808525169.0,8632656976873.0,6145133028198.0,64900956748.0,1250459006332.0,10422744601.0,-521317462083.0,505927309267.0,744531697065.0,84.847,126.946,5.8464,-2.0564,-1.161,CFS,4.1642,-0.1401,-91.0897,,7.8717,0.4602,-0.1619,25.773,13.9429,0.5059,0.7445
035720,035720.KS,00258801,카카오,internet,2025,8099147815086.0,732036535379.0,517959587282.0,27783524545811.0,12558602529761.0,15224922016050.0,12374175844165.0,8779746217432.0,6373784263399.0,76540621667.0,,-478201170293.0,-708211857386.0,614373324796.0,,82.4871,140.94,9.0384,6.3952,3.4021,CFS,2.8895,59.065,-419.9838,,8.0991,0.732,0.518,27.7835,15.2249,0.6144,
051910,051910.KS,00356361,LG화학,battery,2022,51864888000000.0,2995698000000.0,2195518000000.0,67973823000000.0,30492696000000.0,37481127000000.0,29674369000000.0,16459563000000.0,8497882000000.0,11880631000000.0,,,,8573708000000.0,,81.3548,180.2865,5.776,4.2331,5.8577,CFS,,,,,51.8649,2.9957,2.1955,67.9738,37.4811,8.5737,
