year,indicator_id,title,value
1960,FP.CPI.TOTL.ZG,한국 물가상승률,7.96556575482592
1961,FP.CPI.TOTL.ZG,한국 물가상승률,8.19565288254092
1962,FP.CPI.TOTL.ZG,한국 물가상승률,6.61831097492391
1963,FP.CPI.TOTL.ZG,한국 물가상승률,20.6916473186476
1964,FP.CPI.TOTL.ZG,한국 물가상승률,29.4628314500798
1965,FP.CPI.TOTL.ZG,한국 물가상승률,13.5481947104654
1966,FP.CPI.TOTL.ZG,한국 물가상승률,11.261384877581
1967,FP.CPI.TOTL.ZG,한국 물가상승률,10.8824400571964
1968,FP.CPI.TOTL.ZG,한국 물가상승률,10.7718213969351
1969,FP.CPI.TOTL.ZG,한국 물가상승률,12.3895647111187
1970,FP.CPI.TOTL.ZG,한국 물가상승률,15.9503423646945
1971,FP.CPI.TOTL.ZG,한국 물가상승률,13.5117023313079
1972,FP.CPI.TOTL.ZG,한국 물가상승률,11.6889866806845
1973,FP.CPI.TOTL.ZG,한국 물가상승률,3.22102904692326
1974,FP.CPI.TOTL.ZG,한국 물가상승률,24.3041995402397
1975,FP.CPI.TOTL.ZG,한국 물가상승률,25.2492564056733
1976,FP.CPI.TOTL.ZG,한국 물가상승률,15.3273205213194
1977,FP.CPI.TOTL.ZG,한국 물가상승률,10.0966653313387
1978,FP.CPI.TOTL.ZG,한국 물가상승률,14.4602850195024
1979,FP.CPI.TOTL.ZG,한국 물가상승률,18.3234963421791
1980,FP.CPI.TOTL.ZG,한국 물가상승률,28.6976086362017
1981,FP.CPI.TOTL.ZG,한국 물가상승률,21.351640254
1982,FP.CPI.TOTL.ZG,한국 물가상승률,7.1908466400687
1983,FP.CPI.TOTL.ZG,한국 물가상승률,3.42061419498921
1984,FP.CPI.TOTL.ZG,한국 물가상승률,2.27395640001863
1985,FP.CPI.TOTL.ZG,한국 물가상승률,2.45910879215274
1986,FP.CPI.TOTL.ZG,한국 물가상승률,2.74998096063358
1987,FP.CPI.TOTL.ZG,한국 물가상승률,3.04966077087423
1988,FP.CPI.TOTL.ZG,한국 물가상승률,7.14609773721605
1989,FP.CPI.TOTL.ZG,한국 물가상승률,5.70016544561401
1990,FP.CPI.TOTL.ZG,한국 물가상승률,8.57327225728677
1991,FP.CPI.TOTL.ZG,한국 물가상승률,9.33279048161495
1992,FP.CPI.TOTL.ZG,한국 물가상승률,6.21328146355184
1993,FP.CPI.TOTL.ZG,한국 물가상승률,4.80099660215354
1994,FP.CPI.TOTL.ZG,한국 물가상승률,6.26585950039679
1995,FP.CPI.TOTL.ZG,한국 물가상승률,4.48074108557248
1996,FP.CPI.TOTL.ZG,한국 물가상승률,4.92454354292754
1997,FP.CPI.TOTL.ZG,한국 물가상승률,4.4389318457463
1998,FP.CPI.TOTL.ZG,한국 물가상승률,7.51358008079307
1999,FP.CPI.TOTL.ZG,한국 물가상승률,0.81295725444637
2000,FP.CPI.TOTL.ZG,한국 물가상승률,2.25916580080157
2001,FP.CPI.TOTL.ZG,한국 물가상승률,4.06657587897792
2002,FP.CPI.TOTL.ZG,한국 물가상승률,2.76226210296599
2003,FP.CPI.TOTL.ZG,한국 물가상승률,3.51487451459939
